from_id;to_id;type;duration
382;432;FD;0
355;354;DDE;0
466;FIN STD 1-2;FF;0
132;109;FD;0
431;297;FDE;0
190;197;FD;0
454;399;FD;0
480;FIN STD 1-2;FD;0
448;CTRL Refueling / Switch / C33;FD;0
21;52;FD;0
176;61;DDE;0
369;377;FD;0
448;363-A;FD;0
190;188;FDETT;0
308;394;DD;0
174;175;FD;0
175;188;FD;0
287;CTRL TRAVERSES C33 + ECLISSES C26 G-D;FD;0
240;241;FDETT;0
454;379;FD;0
385;486;FD;0
455;331;FDE;0
75;72;FD;0
252;266;FD;0
29;54;FD;0
299;300;FDE;0
392;457;FD;0
482;FIN STD 1-2;FD;0
79;82;FD;0
120;30;FD;0
390;456;FD;0
409;410;FD;0
123;124;FDETT;0
281;282;FD;0
51;37;FD;0
189;175;FD;0
260;259;FDE;0
902;244;FD;0
99;115;FD;0
177;185;FDETT;0
456;474;FD;0
438;478;FD;0
122;30;FD;0
403;404;FD;0
363;347;FD;0
362;347;FDE;0
83;115;FD;0
244;17;FD;0
246;18;FD;0
388;389;FD;0
114;315;FD;0
8;440;FD;0
223;224;FDETT;0
143;144;FDE;0
222;FIN STD 1-2;FD;0
404;FIN STD 1-2;FD;0
252;264;FD;0
266;267;FD;0
171;174;FD;0
128;321;FD;0
229;230;FDE;0
283;CTRL TRAVERSES C33 + ECLISSES C26 G-D;FD;0
313;312;FDE;0
21;25;FD;0
30;454;FD;0
76;131;FD;0
105;114;FD;0
211;471;FD;0
34;69;FD;0
203;277;FD;0
261;CTRL AMF;FD;0
78;79;FD;0
327;329;FDETT;0
192;193;FDE;0
101;117;FD;0
106;294;FD;0
20;21;FDETT;0
324;325;FDETT;0
114;468;FD;0
95;141;FD;0
161;162;FDE;0
244;22;FD;0
16;244;FD;0
118;59;FD;0
154;157;FDETT;0
116;63;FD;0
116;30;FD;0
233;454;FD;0
303;304;FDE;0
163;189;FD;0
372;373;FD;0
311;443;FD;0
182;154;FD;0
309;310;FD;0
76;77;FD;0
108;468;FD;0
272;274;FD;0
13;CTRL ANTENNES SUP;FD;0
65;66;FD;0
268;266;FDE;0
203;123;FDE;0
156;164;FDETT;0
444;FIN STD 1-2;FD;0
186;193;FD;0
403;415;FD;400
76;99;FD;0
91;92;FDETT;0
397;452;FD;0
19;34;FD;0
146;213;FD;0
171;187;FD;0
114;6;FDE;0
298;302;FD;1200
257;CTRL AMF;FD;0
55;43;FD;0
84;139;FD;0
350;351;FD;0
310;FIN STD 1-2;FD;0
308;442;FDE;0
396;397;FD;0
172;173;FDE;0
120;61;FD;0
293;CTRL plateau hydraulique + tuyau drainage C28;FD;0
393;FIN STD 1-2;FD;0
19;26;FD;0
325;466;FDETT;0
407;CTRL йcope + entrйe d'air;FD;0
108;109;FDE;0
130;319;FD;0
234;281;FDE;0
48;69;FD;0
107;108;FDE;0
276;FIN STD 1-2;FD;0
278;279;FD;0
466;CTRL montage caisson O2;FF;0
57;58;FDETT;0
346;354;FD;0
292;298;FD;0
361;CTRL йquipement bande а doigts REAR + cфtelettes;FD;0
209;207;FDETT;0
472;FIN STD 1-2;FD;0
319;CTRL A866 C20 / C26;FD;0
454;311;FD;0
64;67;FDETT;0
229;230;FD;0
326;327;FDE;0
120;63;FD;0
366;372;FD;1200
120;121;FDE;0
142;143;FDETT;0
104;109;FD;0
398;452;FD;0
14;244;FD;0
94;95;FD;0
302;303;FDE;0
212;228;FDE;0
70;80;FD;0
219;225;FDE;0
83;102;DDE;0
84;83;DDE;0
92;243;FD;0
196;240;FD;0
187;189;FDE;0
200;201;FDETT;0
254;308;FD;0
300;304;FD;1200
46;69;FD;0
434;478;FD;0
92;313;FD;0
126;243;FD;0
102;139;FD;0
175;177;FD;0
185;186;FDETT;0
219;220;FD;0
94;97;FD;0
216;217;FDE;0
348;356;FDE;0
119;120;FDETT;0
95;97;FDETT;0
137;138;FDETT;0
409;903;FD;0
293;298;FD;0
318;431;FDE;0
218;219;FDETT;0
295;469;FD;0
69;74;FD;0
159;107;DDE;0
202;203;FDETT;0
167;168;FDETT;0
259;262;FDE;0
396;394;FD;0
423;425;FDETT;0
109;314;FD;0
106;Retouches ROBOT;FD;0
349;352;FD;0
405;406;FD;0
4;248;FD;0
88;210;FD;0
5;244;FD;0
106;104;FDETT;0
417;419;FD;0
372;433;FD;0
76;81;FD;0
187;175;FD;0
103;292;FD;0
120;57;FD;0
11;440;FD;0
148;FIN STD 1-2;FD;0
195;196;FDETT;0
406;FIN STD 1-2;FD;0
12;244;FD;0
210;471;FD;0
26;27;FDE;0
4;244;FD;0
178;212;FD;0
236;254;FD;0
76;84;FD;0
226;227;FD;0
107;291;FD;0
144;145;FDETT;0
252;199;FDE;0
456;388;FDE;0
178;223;DD;0
160;115;DDE;0
358;360;FDE;0
100;119;FD;0
382;383;FDE;0
143;213;FD;0
36;85;FD;0
49;50;FDETT;0
311;318;FD;0
197;454;FD;0
77;79;FD;0
396;394;FDE;0
436;477;FD;0
198;454;FD;0
103;107;FD;0
469;FIN STD 1-2;FD;0
19;28;FD;0
448;449;FD;0
399;CTRL Conduit C1;FD;0
98;243;FD;0
434;435;FD;0
21;34;FD;0
372;374;FD;0
454;257;FD;0
245;54;FD;0
116;117;FDE;0
363-A;CTRL Refueling / Switch / C33;FD;0
311;307;FD;0
311;442;FD;0
13;244;FD;0
452;434;FD;0
175;178;FD;0
122;107;FDE;0
369;376;FD;1200
96;Retouches ROBOT;FD;0
392;393;FD;0
77;78;FDE;0
356;357;FDE;0
103;117;FD;0
383;211;FDE;0
7;FIN STD 1-2;FD;0
293;407;FDE;0
252;235;FD;0
178;197;FD;0
367;372;FD;1200
118;30;FD;0
159;63;FDE;0
106;295;FD;0
97;Retouches ROBOT;FD;0
140;181;FD;0
150;152;FDETT;0
102;100;FDE;0
72;76;FD;0
82;139;FD;0
311;306;FD;0
121;122;FDETT;0
214;215;FDETT;0
343;484;FD;0
99;84;DDE;0
111;112;FDE;0
108;291;FD;0
347;348;FDETT;0
90;85;FDE;0
350;481;FD;0
307;409;FD;0
99;139;FD;0
188;252;FD;0
124;319;FDE;0
40;89;FD;0
106;119;FD;0
110;292;FD;0
106;115;FD;0
106;121;FD;0
248;401;FD;0
113;295;FD;0
258;260;FDE;0
232;231;FDE;0
349;358;FD;0
307;448;FDE;0
106;111;FD;0
182;160;FD;0
103;Retouches ROBOT;FD;0
900;FIN STD 1-2;FD;0
53;55;FDE;0
180;160;FD;0
26;53;FD;0
238;254;FD;0
100;139;FD;0
74;70;FD;0
471;FIN STD 1-2;FD;0
54;69;FD;0
122;61;FD;0
Retouches ROBOT;223;FDE;0
227;FIN STD 1-2;FD;0
224;225;FD;0
122;63;FD;0
342;484;FD;0
136;137;FDE;0
247;248;FDE;0
95;228;FD;0
112;468;FD;0
126;148;FD;0
424;426;DD;0
51;35;FD;0
98;211;FD;0
228;230;FD;0
401;384;FDE;0
103;119;FD;0
241;233;FDETT;0
59;60;FDETT;0
454;259;FD;0
394;395;FD;0
61;62;FDETT;0
193;194;FDETT;0
360;352;FDE;0
442;307;FDE;0
252;238;FD;0
299;303;FD;1200
383;439;FD;0
429;FIN STD 1-2;FD;0
128;381;FDE;0
231;454;FD;0
208;280;FD;0
311;CTRL RETOUCHES STADE 1;FD;0
311;309;FD;0
311;331;FD;0
350;359;FD;0
180;153;FD;0
210;292;FDE;0
381;439;FD;0
189;175;FDE;0
372;343;FD;0
297;298;FDE;0
175;176;FDETT;0
118;61;FD;0
428;429;FDE;0
360;CTRL йquipement bande а doigts REAR + cфtelettes;FD;0
362-B;371;FD;0
375;433;FD;0
43;44;FDETT;0
280;281;FD;0
115;116;FDETT;0
71;76;FD;0
42;47;FDE;0
10;440;FD;0
241;234;FD;0
76;78;FD;0
230;454;FD;0
231;252;FDE;0
403;RMBZ Karmans INF;FD;0
900;305;FDE;0
140;159;FD;0
196;57;FDE;0
139;131;DDE;0
270;436;FDE;0
317;901;FD;0
418;420;FDETT;0
52;39;FD;0
379;444;FDE;0
444;445;FDE;0
78;79;FDE;0
153;155;FDETT;0
190;252;FD;0
41;42;FDETT;0
283;293;FD;0
30;254;FD;0
95;229;FD;0
357;349;FDE;0
36;69;FD;0
123;125;DDE;0
359;361;FD;0
94;106;FD;0
35;36;FDETT;0
277;278;FD;0
344;342;FD;0
69;74;FDE;0
140;179;FDETT;0
95;Retouches ROBOT;FD;0
112;294;FD;0
370;371;FDE;0
454;327;DD;0
266;270;FDETT;0
328;330;FDETT;0
454;262;FD;0
76;135;FD;0
76;83;FD;0
326;328;FD;0
97;210;FD;0
312;472;FD;0
318;FIN STD 1-2;FD;0
76;77;FDE;0
181;182;FDETT;0
170;171;FDETT;0
109;110;FDE;0
301;302;FDE;0
28;56;FD;0
133;134;FDETT;0
437;477;FD;0
314;473;FD;0
248;428;FDE;0
97;242;FD;0
311;324;FD;0
206;209;FDETT;0
263;CTRL AMF;FD;0
275;276;FD;0
116;61;FD;0
388;457;FD;0
315;473;FD;0
215;217;FD;0
243;469;FD;0
384;486;FD;0
360;364;FD;0
180;181;FDE;0
109;292;FD;0
443;FIN STD 1-2;FD;0
76;101;FD;0
19;25;FD;0
457;FIN STD 1-2;FD;0
103;121;FD;0
476;275;FD;0
103;108;FD;0
362-B;405;FD;0
296;CTRL plateau hydraulique + tuyau drainage C28;FD;0
205;206;FDETT;0
76;89;FD;0
375;403;FF;0
76;91;FD;0
